%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7
27304000000,0,26933.0,6.26807801519,19.2778416747,-83.8800171275,65.2613862342,-48.7363963341,-13.0097636595,-149.141403362
27305000000,0,26934.0,6.17587954704,19.1862362358,-83.9700171463,-98.3383898263,-20.1995977911,-13.0103566887,14.36837268
27306000000,0,26935.0,6.08362012544,19.2840751294,-84.060017165,96.6545295603,-54.5797673691,-13.200455004,-180.714546725
27307000000,0,26936.0,5.99130066097,19.1724543218,-84.1500171837,-139.437497522,-13.3559646102,-13.1811536608,55.2874803383
27308000000,0,26937.0,5.89892206478,19.2381200204,-84.2400172024,64.5026257152,-49.2417707159,-13.3391979556,-148.742642918
27309000000,0,26938.0,5.80648524861,19.1498580505,-84.3300172211,-96.9692344,-21.0826149388,-13.3433728019,12.6392171788
27310000000,0,26939.0,5.71399112478,19.2437815594,-84.4200172399,92.6516000761,-54.5187550166,-13.5297904347,-177.071617316
27311000000,0,26940.0,5.62144060616,19.1420907165,-84.5100172586,-130.201606746,-15.623296123,-13.5206501103,45.691589487
27312000000,0,26941.0,5.52883460619,19.2045526972,-84.6000172773,60.8531655061,-49.2549900498,-13.675718091,-145.453182783
27313000000,0,26942.0,5.43617403886,19.1206381156,-84.690017296,-95.5895340982,-21.9815663271,-13.6844640767,10.8995168022
27314000000,0,26943.0,5.34345981868,19.2092922136,-84.7800173148,87.4123400422,-54.2536674215,-13.8658323949,-172.192357357
27315000000,0,26944.0,5.25069286071,19.1358604562,-84.8700173335,-77.5546196409,-25.5109616241,-13.8851675955,-7.31539769261
27316000000,0,26945.0,5.15787408052,19.2172700957,-84.9600173522,79.9292553981,-53.3168711454,-14.0593960151,-164.88927275
27317000000,0,26946.0,5.0650043942,19.1059298623,-85.0500173709,-142.158841438,-14.5386648007,-14.0409254681,57.1088240674
27318000000,0,26947.0,4.97208471833,19.1666069985,-85.1400173897,60.4911749806,-50.1915425163,-14.1945222802,-145.63119237
27319000000,0,26948.0,4.87911596999,19.0638934618,-85.2300174084,-111.723282087,-20.1331559185,-14.1847774918,26.4932646785
27320000000,0,26949.0,4.78609906675,19.1153787295,-85.3200174271,50.7662929174,-48.7608426351,-14.3292796628,-136.086310345
27321000000,0,26950.0,4.69303492664,19.0246877809,-85.4100174458,-94.3493203688,-23.4532453882,-14.3316528542,8.93930292297
27322000000,0,26951.0,4.59992446817,19.1024942643,-85.5000174646,77.0784617551,-53.6870456776,-14.5025697961,-162.57847922
27324000000,0,26952.0,4.5067686103,19.0316660063,-85.5900174833,-78.0660773861,-26.6638980344,-14.524897396,-7.52394009718
27325000000,0,26953.0,4.41356827245,19.0985384997,-85.680017502,65.2637029743,-51.9747463645,-14.6849702273,-150.943720476
27325000000,0,26954.0,4.32032437446,19.018312425,-85.7700175207,-80.409429788,-26.5884220162,-14.6979880505,-5.3605877327
27326000000,0,26955.0,4.22703783661,19.088627036,-85.8600175395,68.9268322351,-52.9537570176,-14.8615891993,-154.786849775
27327000000,0,26956.0,4.1337095796,18.9769459082,-85.9500175582,-142.621742256,-16.0152493391,-14.8432363286,56.6717246979
27328000000,0,26957.0,4.04034052455,19.0342910566,-86.0400175769,58.1710770695,-51.3389539806,-14.993950532,-144.211094646
27329000000,0,26958.0,3.94693159297,18.9327214927,-86.1300175956,-109.982729753,-21.9920492741,-14.9857898997,23.8527121573
27330000000,0,26959.0,3.85348370677,18.9809132814,-86.2200176144,47.523577095,-49.7449958062,-15.1274295746,-133.743594709
27331000000,0,26960.0,3.75999778824,18.8986619346,-86.3100176331,-88.3333865735,-26.0688034473,-15.1386641464,2.02336894044
27331000000,0,26961.0,3.66647476005,18.9473363536,-86.4000176518,47.9947600029,-50.1264379819,-15.2808615935,-134.394777655
27331000000,0,26962.0,3.57291554524,18.869927604,-86.4900176705,-83.7368243537,-27.1788398432,-15.2970120588,-2.75319331681
27334000000,0,26963.0,3.47932106719,18.922456214,-86.5800176892,50.8509481744,-50.9395734017,-15.4431351468,-137.430965864
27335000000,0,26964.0,3.38569224964,18.8437236735,-86.670017708,-80.069057996,-28.1314333774,-15.4580314239,-6.60095971194
27336000000,0,26965.0,3.29203001668,18.902689314,-86.7600177267,57.5116159765,-52.4258796612,-15.6106592973,-144.271633703
27337000000,0,26966.0,3.19833529272,18.7881921649,-86.8500177454,-145.970846325,-16.8908985671,-15.5898568722,59.12082858
27338000000,0,26967.0,3.10460900247,18.8387255095,-86.9400177641,54.2580691051,-52.1049180877,-15.734116507,-141.198086869
27339000000,0,26968.0,3.01085207099,18.7353576642,-87.0300177829,-109.794160745,-23.471342241,-15.7245055932,22.7641429624
27340000000,0,26969.0,2.91706542361,18.7743618673,-87.1200178016,38.4083783179,-49.5850311951,-15.8572964437,-125.528396119
27341000000,0,26970.0,2.82324998598,18.6906600494,-87.2100178203,-89.6946308668,-27.2602024827,-15.8674100634,2.48461304649
27342000000,0,26971.0,2.72940668401,18.7262996236,-87.300017839,35.1378782646,-49.2892790964,-15.9968929396,-122.437896104
27343000000,0,26972.0,2.63553644389,18.6466596337,-87.3900178578,-86.4348628258,-28.1113818138,-16.0111231898,-0.955155031979
27344000000,0,26973.0,2.5416401921,18.6883018551,-87.4800178765,39.9299027962,-50.4184565877,-16.146661663,-127.409920673
27345000000,0,26974.0,2.44771885534,18.581379382,-87.5700178952,-138.039256075,-19.3500018612,-16.1336605267,50.4692381795
27346000000,0,26975.0,2.35377336059,18.6167867958,-87.6600179139,34.0335161141,-49.6238312219,-16.2630134352,-121.693534028
27347000000,0,26976.0,2.25980463504,18.5432665301,-87.7500179327,-81.6292063741,-29.4882793803,-16.2834618951,-6.1208115586
27348000000,0,26977.0,2.16581360613,18.5873267585,-87.8400179514,42.7291499779,-51.4495553826,-16.4215131524,-130.569167929
27349000000,0,26978.0,2.07180120152,18.4912106194,-87.9300179701,-126.284453537,-21.9631591543,-16.4194094179,38.3544355665
27350000000,0,26979.0,1.97776834907,18.5271877776,-88.0200179888,34.1656817688,-50.2096029825,-16.5494194285,-122.185699758
27351000000,0,26980.0,1.88371597684,18.4600780764,-88.1100180076,-76.4364977337,-30.968616862,-16.5763620996,-11.6735202739
27352000000,0,26981.0,1.78964501309,18.4988421415,-88.2000180263,37.3009988804,-51.0670994975,-16.7091971284,-125.501016907
27353000000,0,26982.0,1.69555638627,18.43109719,-88.290018045,-71.6715760603,-32.1094875244,-16.7355408038,-16.6184419847
27354000000,0,26983.0,1.60145102499,18.4776128511,-88.3800180637,44.9974514874,-52.7332078421,-16.8761618261,-133.377469551
27355000000,0,26984.0,1.50732985804,18.3787724682,-88.4700180824,-130.173246931,-22.1676311778,-16.8714426101,41.7032288482
27356000000,0,26985.0,1.41319381435,18.4186407575,-88.5600181012,38.9147258503,-51.9286331406,-17.0054469431,-127.474743951
27358000000,0,26986.0,1.31904382301,18.3301697159,-88.6500181199,-95.2619358739,-28.5360123467,-17.0111258929,6.61191775405
27358000000,0,26987.0,1.22488081324,18.3606055531,-88.7400181386,29.8266188077,-50.6012530926,-17.1357247399,-118.566636946
27359000000,0,26988.0,1.13070571439,18.2853425647,-88.8300181573,-77.9536789276,-31.8387621796,-17.1546368503,-10.8763392297
27360000000,0,26989.0,1.03651945593,18.3092052027,-88.9200181761,23.1761231261,-49.7109807973,-17.2726857468,-112.096141302
27361000000,0,26990.0,0.942322967446,18.2397971086,-89.0100181948,-78.1482900786,-32.0855101098,-17.2974741411,-10.8617281162
27362000000,0,26991.0,0.848117178612,18.271085806,-89.1000182135,29.5095362275,-51.110078662,-17.4229686274,-118.609554441
27363000000,0,26992.0,0.753903019203,18.2054455985,-89.1900182322,-68.272247213,-34.1095204244,-17.4515425793,-20.9177710192
27364000000,0,26993.0,0.659681419075,18.2473735485,-89.280018251,40.4701884489,-53.3419855716,-17.5876921294,-129.7502067
27365000000,0,26994.0,0.565453308159,18.191879126,-89.3700182697,-57.2053977641,-36.3776943245,-17.6264258178,-32.1646205056
27366000000,0,26995.0,0.471219616446,18.20392695,-89.4600182884,9.54298746521,-48.2286869903,-17.7327073335,-99.0030057536
27367000000,0,26996.0,0.376981273986,18.1060260159,-89.5500183071,-116.184759183,-26.2943756906,-17.7290447419,26.6347408756
